primary_key,id_estacao,data_medicao,altura_agua,data_particao
5_2024-03-21 23:45:00,5,2024-03-21T23:45:00,0.15,2024-03-21
5_2024-03-21 23:15:00,5,2024-03-21T23:15:00,,2024-03-21
5_2024-03-21 23:30:00,5,2024-03-21T23:30:00,0.16,2024-03-21
2_2024-03-21 21:45:00,2,2024-03-21T21:45:00,0.33,2024-03-21
2_2024-03-21 22:00:00,2,2024-03-21T22:00:00,0.33,2024-03-21
2_2024-03-21 21:30:00,2,2024-03-21T21:30:00,0.33,2024-03-21
2_2024-03-21 21:15:00,2,2024-03-21T21:15:00,0.33,2024-03-21
2_2024-03-21 20:15:00,2,2024-03-21T20:15:00,0.33,2024-03-21
2_2024-03-21 20:45:00,2,2024-03-21T20:45:00,0.33,2024-03-21
2_2024-03-21 21:00:00,2,2024-03-21T21:00:00,0.33,2024-03-21
2_2024-03-21 20:00:00,2,2024-03-21T20:00:00,0.33,2024-03-21
2_2024-03-21 19:15:00,2,2024-03-21T19:15:00,0.33,2024-03-21
2_2024-03-21 19:45:00,2,2024-03-21T19:45:00,0.33,2024-03-21
2_2024-03-21 19:30:00,2,2024-03-21T19:30:00,0.33,2024-03-21
2_2024-03-21 18:30:00,2,2024-03-21T18:30:00,0.33,2024-03-21
2_2024-03-21 18:15:00,2,2024-03-21T18:15:00,0.33,2024-03-21
2_2024-03-21 19:00:00,2,2024-03-21T19:00:00,0.33,2024-03-21
2_2024-03-21 18:45:00,2,2024-03-21T18:45:00,0.33,2024-03-21
2_2024-03-21 17:45:00,2,2024-03-21T17:45:00,0.33,2024-03-21
2_2024-03-21 17:30:00,2,2024-03-21T17:30:00,0.33,2024-03-21
2_2024-03-21 17:15:00,2,2024-03-21T17:15:00,0.33,2024-03-21
2_2024-03-21 18:00:00,2,2024-03-21T18:00:00,0.33,2024-03-21
2_2024-03-21 16:45:00,2,2024-03-21T16:45:00,0.33,2024-03-21
2_2024-03-21 16:15:00,2,2024-03-21T16:15:00,0.33,2024-03-21
2_2024-03-21 16:30:00,2,2024-03-21T16:30:00,0.33,2024-03-21
2_2024-03-21 17:00:00,2,2024-03-21T17:00:00,0.33,2024-03-21
2_2024-03-21 15:30:00,2,2024-03-21T15:30:00,0.33,2024-03-21
2_2024-03-21 14:15:00,2,2024-03-21T14:15:00,0.33,2024-03-21
2_2024-03-21 14:45:00,2,2024-03-21T14:45:00,0.33,2024-03-21
2_2024-03-21 15:00:00,2,2024-03-21T15:00:00,0.33,2024-03-21
2_2024-03-21 14:30:00,2,2024-03-21T14:30:00,0.33,2024-03-21
2_2024-03-21 13:30:00,2,2024-03-21T13:30:00,0.33,2024-03-21
2_2024-03-21 13:15:00,2,2024-03-21T13:15:00,0.33,2024-03-21
2_2024-03-21 13:45:00,2,2024-03-21T13:45:00,0.33,2024-03-21
2_2024-03-21 14:00:00,2,2024-03-21T14:00:00,0.33,2024-03-21
2_2024-03-21 12:30:00,2,2024-03-21T12:30:00,0.33,2024-03-21
2_2024-03-21 12:15:00,2,2024-03-21T12:15:00,0.33,2024-03-21
2_2024-03-21 12:45:00,2,2024-03-21T12:45:00,0.33,2024-03-21
2_2024-03-21 13:00:00,2,2024-03-21T13:00:00,0.33,2024-03-21
2_2024-03-21 11:15:00,2,2024-03-21T11:15:00,0.33,2024-03-21
2_2024-03-21 12:00:00,2,2024-03-21T12:00:00,0.33,2024-03-21
2_2024-03-21 11:45:00,2,2024-03-21T11:45:00,0.33,2024-03-21
2_2024-03-21 11:30:00,2,2024-03-21T11:30:00,0.33,2024-03-21
2_2024-03-21 10:45:00,2,2024-03-21T10:45:00,0.33,2024-03-21
2_2024-03-21 11:00:00,2,2024-03-21T11:00:00,0.33,2024-03-21
2_2024-03-21 10:30:00,2,2024-03-21T10:30:00,0.33,2024-03-21
2_2024-03-21 10:15:00,2,2024-03-21T10:15:00,0.33,2024-03-21
2_2024-03-21 09:15:00,2,2024-03-21T09:15:00,0.33,2024-03-21
2_2024-03-21 09:45:00,2,2024-03-21T09:45:00,0.33,2024-03-21
2_2024-03-21 09:30:00,2,2024-03-21T09:30:00,0.33,2024-03-21
2_2024-03-21 10:00:00,2,2024-03-21T10:00:00,0.33,2024-03-21
2_2024-03-21 08:45:00,2,2024-03-21T08:45:00,0.33,2024-03-21
2_2024-03-21 09:00:00,2,2024-03-21T09:00:00,0.33,2024-03-21
2_2024-03-21 08:30:00,2,2024-03-21T08:30:00,0.33,2024-03-21
2_2024-03-21 00:15:00,2,2024-03-21T00:15:00,0.33,2024-03-21
2_2024-03-21 08:15:00,2,2024-03-21T08:15:00,0.34,2024-03-21
2_2024-03-21 08:00:00,2,2024-03-21T08:00:00,0.34,2024-03-21
2_2024-03-21 07:30:00,2,2024-03-21T07:30:00,0.34,2024-03-21
2_2024-03-21 06:15:00,2,2024-03-21T06:15:00,0.34,2024-03-21
2_2024-03-21 06:45:00,2,2024-03-21T06:45:00,0.34,2024-03-21
2_2024-03-21 06:30:00,2,2024-03-21T06:30:00,0.34,2024-03-21
2_2024-03-21 07:00:00,2,2024-03-21T07:00:00,0.34,2024-03-21
2_2024-03-21 05:15:00,2,2024-03-21T05:15:00,0.34,2024-03-21
2_2024-03-21 06:00:00,2,2024-03-21T06:00:00,0.34,2024-03-21
2_2024-03-21 05:30:00,2,2024-03-21T05:30:00,0.34,2024-03-21
2_2024-03-21 05:45:00,2,2024-03-21T05:45:00,0.34,2024-03-21
2_2024-03-21 04:00:00,2,2024-03-21T04:00:00,0.34,2024-03-21
2_2024-03-21 03:45:00,2,2024-03-21T03:45:00,0.34,2024-03-21
2_2024-03-21 03:15:00,2,2024-03-21T03:15:00,0.34,2024-03-21
2_2024-03-21 03:30:00,2,2024-03-21T03:30:00,0.34,2024-03-21
2_2024-03-21 01:15:00,2,2024-03-21T01:15:00,0.34,2024-03-21
2_2024-03-21 02:00:00,2,2024-03-21T02:00:00,0.34,2024-03-21
2_2024-03-21 01:30:00,2,2024-03-21T01:30:00,0.34,2024-03-21
2_2024-03-21 01:00:00,2,2024-03-21T01:00:00,0.34,2024-03-21
2_2024-03-21 00:45:00,2,2024-03-21T00:45:00,0.34,2024-03-21
2_2024-03-21 00:30:00,2,2024-03-21T00:30:00,0.34,2024-03-21
2_2024-03-21 00:00:00,2,2024-03-21T00:00:00,0.34,2024-03-21
2_2024-03-21 01:45:00,2,2024-03-21T01:45:00,0.34,2024-03-21
2_2024-03-21 03:00:00,2,2024-03-21T03:00:00,0.34,2024-03-21
2_2024-03-21 02:45:00,2,2024-03-21T02:45:00,0.34,2024-03-21
2_2024-03-21 02:15:00,2,2024-03-21T02:15:00,0.34,2024-03-21
2_2024-03-21 02:30:00,2,2024-03-21T02:30:00,0.34,2024-03-21
2_2024-03-21 07:15:00,2,2024-03-21T07:15:00,0.34,2024-03-21
2_2024-03-21 07:45:00,2,2024-03-21T07:45:00,0.34,2024-03-21
2_2024-03-21 15:45:00,2,2024-03-21T15:45:00,0.33,2024-03-21
2_2024-03-21 16:00:00,2,2024-03-21T16:00:00,0.33,2024-03-21
2_2024-03-21 15:15:00,2,2024-03-21T15:15:00,0.33,2024-03-21
2_2024-03-21 20:30:00,2,2024-03-21T20:30:00,0.33,2024-03-21
5_2024-03-21 22:45:00,5,2024-03-21T22:45:00,0.17,2024-03-21
5_2024-03-21 23:00:00,5,2024-03-21T23:00:00,0.16,2024-03-21
5_2024-03-21 22:30:00,5,2024-03-21T22:30:00,0.17,2024-03-21
5_2024-03-21 22:00:00,5,2024-03-21T22:00:00,0.17,2024-03-21
5_2024-03-21 22:15:00,5,2024-03-21T22:15:00,0.17,2024-03-21
5_2024-03-21 21:45:00,5,2024-03-21T21:45:00,0.17,2024-03-21
5_2024-03-21 21:15:00,5,2024-03-21T21:15:00,,2024-03-21
5_2024-03-21 21:30:00,5,2024-03-21T21:30:00,,2024-03-21
5_2024-03-21 21:00:00,5,2024-03-21T21:00:00,0.17,2024-03-21
5_2024-03-21 20:30:00,5,2024-03-21T20:30:00,,2024-03-21
5_2024-03-21 20:45:00,5,2024-03-21T20:45:00,0.17,2024-03-21
5_2024-03-21 20:15:00,5,2024-03-21T20:15:00,0.18,2024-03-21
5_2024-03-21 20:00:00,5,2024-03-21T20:00:00,0.18,2024-03-21
5_2024-03-21 19:45:00,5,2024-03-21T19:45:00,0.18,2024-03-21
5_2024-03-21 19:15:00,5,2024-03-21T19:15:00,,2024-03-21
5_2024-03-21 19:30:00,5,2024-03-21T19:30:00,0.17,2024-03-21
5_2024-03-21 18:30:00,5,2024-03-21T18:30:00,,2024-03-21
5_2024-03-21 19:00:00,5,2024-03-21T19:00:00,0.17,2024-03-21
5_2024-03-21 18:45:00,5,2024-03-21T18:45:00,0.16,2024-03-21
5_2024-03-21 18:15:00,5,2024-03-21T18:15:00,0.16,2024-03-21
5_2024-03-21 17:30:00,5,2024-03-21T17:30:00,0.17,2024-03-21
5_2024-03-21 17:15:00,5,2024-03-21T17:15:00,0.17,2024-03-21
5_2024-03-21 16:30:00,5,2024-03-21T16:30:00,,2024-03-21
5_2024-03-21 16:45:00,5,2024-03-21T16:45:00,,2024-03-21
5_2024-03-21 17:00:00,5,2024-03-21T17:00:00,0.17,2024-03-21
5_2024-03-21 16:00:00,5,2024-03-21T16:00:00,,2024-03-21
5_2024-03-21 15:30:00,5,2024-03-21T15:30:00,,2024-03-21
5_2024-03-21 14:30:00,5,2024-03-21T14:30:00,,2024-03-21
5_2024-03-21 14:00:00,5,2024-03-21T14:00:00,,2024-03-21
5_2024-03-21 11:45:00,5,2024-03-21T11:45:00,,2024-03-21
5_2024-03-21 11:15:00,5,2024-03-21T11:15:00,,2024-03-21
5_2024-03-21 10:30:00,5,2024-03-21T10:30:00,,2024-03-21
5_2024-03-21 10:45:00,5,2024-03-21T10:45:00,,2024-03-21
5_2024-03-21 11:00:00,5,2024-03-21T11:00:00,,2024-03-21
5_2024-03-21 09:45:00,5,2024-03-21T09:45:00,,2024-03-21
5_2024-03-21 08:45:00,5,2024-03-21T08:45:00,,2024-03-21
5_2024-03-21 08:00:00,5,2024-03-21T08:00:00,,2024-03-21
5_2024-03-21 07:00:00,5,2024-03-21T07:00:00,,2024-03-21
5_2024-03-21 07:15:00,5,2024-03-21T07:15:00,,2024-03-21
5_2024-03-21 07:30:00,5,2024-03-21T07:30:00,,2024-03-21
5_2024-03-21 05:15:00,5,2024-03-21T05:15:00,,2024-03-21
5_2024-03-21 04:30:00,5,2024-03-21T04:30:00,,2024-03-21
5_2024-03-21 01:30:00,5,2024-03-21T01:30:00,,2024-03-21
5_2024-03-21 00:45:00,5,2024-03-21T00:45:00,,2024-03-21
5_2024-03-21 05:45:00,5,2024-03-21T05:45:00,0.09,2024-03-21
5_2024-03-21 06:00:00,5,2024-03-21T06:00:00,0.09,2024-03-21
5_2024-03-21 05:30:00,5,2024-03-21T05:30:00,0.09,2024-03-21
5_2024-03-21 05:00:00,5,2024-03-21T05:00:00,0.09,2024-03-21
5_2024-03-21 04:45:00,5,2024-03-21T04:45:00,0.09,2024-03-21
5_2024-03-21 03:30:00,5,2024-03-21T03:30:00,0.09,2024-03-21
5_2024-03-21 04:00:00,5,2024-03-21T04:00:00,0.09,2024-03-21
5_2024-03-21 03:45:00,5,2024-03-21T03:45:00,0.09,2024-03-21
5_2024-03-21 15:00:00,5,2024-03-21T15:00:00,0.18,2024-03-21
5_2024-03-21 14:45:00,5,2024-03-21T14:45:00,0.18,2024-03-21
5_2024-03-21 11:30:00,5,2024-03-21T11:30:00,0.18,2024-03-21
5_2024-03-21 10:15:00,5,2024-03-21T10:15:00,0.18,2024-03-21
5_2024-03-21 10:00:00,5,2024-03-21T10:00:00,0.18,2024-03-21
5_2024-03-21 09:30:00,5,2024-03-21T09:30:00,0.18,2024-03-21
5_2024-03-21 13:45:00,5,2024-03-21T13:45:00,0.18,2024-03-21
5_2024-03-21 13:30:00,5,2024-03-21T13:30:00,0.18,2024-03-21
5_2024-03-21 06:30:00,5,2024-03-21T06:30:00,0.11,2024-03-21
5_2024-03-21 06:45:00,5,2024-03-21T06:45:00,0.11,2024-03-21
5_2024-03-21 02:30:00,5,2024-03-21T02:30:00,0.11,2024-03-21
5_2024-03-21 02:00:00,5,2024-03-21T02:00:00,0.11,2024-03-21
5_2024-03-21 07:45:00,5,2024-03-21T07:45:00,0.15,2024-03-21
5_2024-03-21 00:30:00,5,2024-03-21T00:30:00,0.15,2024-03-21
5_2024-03-21 00:00:00,5,2024-03-21T00:00:00,0.15,2024-03-21
5_2024-03-21 00:15:00,5,2024-03-21T00:15:00,0.15,2024-03-21
5_2024-03-21 14:15:00,5,2024-03-21T14:15:00,0.19,2024-03-21
5_2024-03-21 13:15:00,5,2024-03-21T13:15:00,0.19,2024-03-21
5_2024-03-21 13:00:00,5,2024-03-21T13:00:00,0.19,2024-03-21
5_2024-03-21 12:30:00,5,2024-03-21T12:30:00,0.19,2024-03-21
5_2024-03-21 12:45:00,5,2024-03-21T12:45:00,0.19,2024-03-21
5_2024-03-21 12:15:00,5,2024-03-21T12:15:00,0.19,2024-03-21
5_2024-03-21 12:00:00,5,2024-03-21T12:00:00,0.19,2024-03-21
5_2024-03-21 08:15:00,5,2024-03-21T08:15:00,0.16,2024-03-21
5_2024-03-21 06:15:00,5,2024-03-21T06:15:00,0.1,2024-03-21
5_2024-03-21 04:15:00,5,2024-03-21T04:15:00,0.1,2024-03-21
5_2024-03-21 03:15:00,5,2024-03-21T03:15:00,0.1,2024-03-21
5_2024-03-21 03:00:00,5,2024-03-21T03:00:00,0.1,2024-03-21
5_2024-03-21 02:45:00,5,2024-03-21T02:45:00,0.1,2024-03-21
5_2024-03-21 09:15:00,5,2024-03-21T09:15:00,0.2,2024-03-21
5_2024-03-21 01:00:00,5,2024-03-21T01:00:00,0.13,2024-03-21
5_2024-03-21 01:15:00,5,2024-03-21T01:15:00,0.13,2024-03-21
5_2024-03-21 02:15:00,5,2024-03-21T02:15:00,0.12,2024-03-21
5_2024-03-21 01:45:00,5,2024-03-21T01:45:00,0.12,2024-03-21
5_2024-03-21 16:15:00,5,2024-03-21T16:15:00,0.17,2024-03-21
5_2024-03-21 15:45:00,5,2024-03-21T15:45:00,0.17,2024-03-21
5_2024-03-21 09:00:00,5,2024-03-21T09:00:00,0.17,2024-03-21
5_2024-03-21 08:30:00,5,2024-03-21T08:30:00,0.17,2024-03-21
5_2024-03-21 18:00:00,5,2024-03-21T18:00:00,0.17,2024-03-21
5_2024-03-21 17:45:00,5,2024-03-21T17:45:00,,2024-03-21
2_2024-03-15 14:00:00,2,2024-03-15T14:00:00,,2024-03-15
2_2024-03-15 01:15:00,2,2024-03-15T01:15:00,,2024-03-15
2_2024-03-15 03:00:00,2,2024-03-15T03:00:00,,2024-03-15
2_2024-03-15 08:00:00,2,2024-03-15T08:00:00,,2024-03-15
2_2024-03-15 04:15:00,2,2024-03-15T04:15:00,,2024-03-15
2_2024-03-15 05:45:00,2,2024-03-15T05:45:00,,2024-03-15
2_2024-03-15 12:00:00,2,2024-03-15T12:00:00,,2024-03-15
2_2024-03-15 08:15:00,2,2024-03-15T08:15:00,,2024-03-15
2_2024-03-15 09:00:00,2,2024-03-15T09:00:00,,2024-03-15
2_2024-03-15 05:30:00,2,2024-03-15T05:30:00,,2024-03-15
2_2024-03-15 13:45:00,2,2024-03-15T13:45:00,,2024-03-15
2_2024-03-15 02:00:00,2,2024-03-15T02:00:00,,2024-03-15
2_2024-03-15 02:15:00,2,2024-03-15T02:15:00,,2024-03-15
2_2024-03-15 03:15:00,2,2024-03-15T03:15:00,,2024-03-15
2_2024-03-15 11:15:00,2,2024-03-15T11:15:00,,2024-03-15
2_2024-03-15 02:30:00,2,2024-03-15T02:30:00,,2024-03-15
2_2024-03-15 10:30:00,2,2024-03-15T10:30:00,,2024-03-15
2_2024-03-15 02:45:00,2,2024-03-15T02:45:00,,2024-03-15
2_2024-03-15 06:30:00,2,2024-03-15T06:30:00,,2024-03-15
2_2024-03-15 12:30:00,2,2024-03-15T12:30:00,,2024-03-15
2_2024-03-15 08:30:00,2,2024-03-15T08:30:00,,2024-03-15
2_2024-03-15 03:45:00,2,2024-03-15T03:45:00,,2024-03-15
2_2024-03-15 05:00:00,2,2024-03-15T05:00:00,,2024-03-15
2_2024-03-15 12:15:00,2,2024-03-15T12:15:00,,2024-03-15
2_2024-03-15 13:15:00,2,2024-03-15T13:15:00,,2024-03-15
2_2024-03-15 07:45:00,2,2024-03-15T07:45:00,,2024-03-15
2_2024-03-15 13:30:00,2,2024-03-15T13:30:00,,2024-03-15
2_2024-03-15 07:30:00,2,2024-03-15T07:30:00,,2024-03-15
2_2024-03-15 07:15:00,2,2024-03-15T07:15:00,,2024-03-15
2_2024-03-15 04:30:00,2,2024-03-15T04:30:00,,2024-03-15
2_2024-03-15 09:15:00,2,2024-03-15T09:15:00,,2024-03-15
2_2024-03-15 01:45:00,2,2024-03-15T01:45:00,,2024-03-15
2_2024-03-15 05:15:00,2,2024-03-15T05:15:00,,2024-03-15
2_2024-03-15 00:00:00,2,2024-03-15T00:00:00,,2024-03-15
2_2024-03-15 10:45:00,2,2024-03-15T10:45:00,,2024-03-15
2_2024-03-15 07:00:00,2,2024-03-15T07:00:00,,2024-03-15
2_2024-03-15 04:00:00,2,2024-03-15T04:00:00,,2024-03-15
2_2024-03-15 10:15:00,2,2024-03-15T10:15:00,,2024-03-15
2_2024-03-15 08:45:00,2,2024-03-15T08:45:00,,2024-03-15
2_2024-03-15 13:00:00,2,2024-03-15T13:00:00,,2024-03-15
2_2024-03-15 09:45:00,2,2024-03-15T09:45:00,,2024-03-15
2_2024-03-15 11:00:00,2,2024-03-15T11:00:00,,2024-03-15
2_2024-03-15 01:30:00,2,2024-03-15T01:30:00,,2024-03-15
2_2024-03-15 00:15:00,2,2024-03-15T00:15:00,,2024-03-15
2_2024-03-15 01:00:00,2,2024-03-15T01:00:00,,2024-03-15
2_2024-03-15 06:00:00,2,2024-03-15T06:00:00,,2024-03-15
2_2024-03-15 03:30:00,2,2024-03-15T03:30:00,,2024-03-15
2_2024-03-15 12:45:00,2,2024-03-15T12:45:00,,2024-03-15
2_2024-03-15 11:30:00,2,2024-03-15T11:30:00,,2024-03-15
2_2024-03-15 09:30:00,2,2024-03-15T09:30:00,,2024-03-15
2_2024-03-15 10:00:00,2,2024-03-15T10:00:00,,2024-03-15
2_2024-03-15 11:45:00,2,2024-03-15T11:45:00,,2024-03-15
2_2024-03-15 04:45:00,2,2024-03-15T04:45:00,,2024-03-15
2_2024-03-15 06:45:00,2,2024-03-15T06:45:00,,2024-03-15
2_2024-03-15 00:30:00,2,2024-03-15T00:30:00,,2024-03-15
2_2024-03-15 00:45:00,2,2024-03-15T00:45:00,,2024-03-15
2_2024-03-15 06:15:00,2,2024-03-15T06:15:00,,2024-03-15
2_2024-03-15 21:15:00,2,2024-03-15T21:15:00,0.34,2024-03-15
2_2024-03-15 21:30:00,2,2024-03-15T21:30:00,0.34,2024-03-15
2_2024-03-15 22:00:00,2,2024-03-15T22:00:00,0.34,2024-03-15
2_2024-03-15 21:45:00,2,2024-03-15T21:45:00,0.34,2024-03-15
2_2024-03-15 20:15:00,2,2024-03-15T20:15:00,0.34,2024-03-15
2_2024-03-15 20:30:00,2,2024-03-15T20:30:00,0.34,2024-03-15
2_2024-03-15 20:45:00,2,2024-03-15T20:45:00,0.34,2024-03-15
2_2024-03-15 21:00:00,2,2024-03-15T21:00:00,0.34,2024-03-15
2_2024-03-15 19:45:00,2,2024-03-15T19:45:00,0.34,2024-03-15
2_2024-03-15 20:00:00,2,2024-03-15T20:00:00,0.34,2024-03-15
2_2024-03-15 19:30:00,2,2024-03-15T19:30:00,0.34,2024-03-15
2_2024-03-15 19:15:00,2,2024-03-15T19:15:00,0.34,2024-03-15
2_2024-03-15 16:15:00,2,2024-03-15T16:15:00,0.34,2024-03-15
2_2024-03-15 16:45:00,2,2024-03-15T16:45:00,0.34,2024-03-15
2_2024-03-15 17:45:00,2,2024-03-15T17:45:00,0.34,2024-03-15
2_2024-03-15 17:30:00,2,2024-03-15T17:30:00,0.34,2024-03-15
2_2024-03-15 17:00:00,2,2024-03-15T17:00:00,0.34,2024-03-15
2_2024-03-15 16:30:00,2,2024-03-15T16:30:00,0.34,2024-03-15
2_2024-03-15 18:00:00,2,2024-03-15T18:00:00,0.34,2024-03-15
2_2024-03-15 17:15:00,2,2024-03-15T17:15:00,0.34,2024-03-15
2_2024-03-15 14:30:00,2,2024-03-15T14:30:00,0.34,2024-03-15
2_2024-03-15 15:45:00,2,2024-03-15T15:45:00,0.34,2024-03-15
2_2024-03-15 15:30:00,2,2024-03-15T15:30:00,0.34,2024-03-15
2_2024-03-15 14:45:00,2,2024-03-15T14:45:00,0.34,2024-03-15
2_2024-03-15 15:15:00,2,2024-03-15T15:15:00,0.34,2024-03-15
2_2024-03-15 15:00:00,2,2024-03-15T15:00:00,0.34,2024-03-15
2_2024-03-15 16:00:00,2,2024-03-15T16:00:00,0.34,2024-03-15
2_2024-03-15 14:15:00,2,2024-03-15T14:15:00,0.34,2024-03-15
2_2024-03-15 18:30:00,2,2024-03-15T18:30:00,0.34,2024-03-15
2_2024-03-15 18:45:00,2,2024-03-15T18:45:00,0.34,2024-03-15
2_2024-03-15 18:15:00,2,2024-03-15T18:15:00,0.34,2024-03-15
2_2024-03-15 19:00:00,2,2024-03-15T19:00:00,0.34,2024-03-15
2_2024-03-18 18:15:00,2,2024-03-18T18:15:00,,2024-03-18
2_2024-03-18 01:00:00,2,2024-03-18T01:00:00,,2024-03-18
2_2024-03-18 04:00:00,2,2024-03-18T04:00:00,,2024-03-18
2_2024-03-18 06:45:00,2,2024-03-18T06:45:00,,2024-03-18
2_2024-03-18 07:45:00,2,2024-03-18T07:45:00,,2024-03-18
2_2024-03-18 10:00:00,2,2024-03-18T10:00:00,,2024-03-18
2_2024-03-18 08:15:00,2,2024-03-18T08:15:00,,2024-03-18
2_2024-03-18 06:00:00,2,2024-03-18T06:00:00,,2024-03-18
2_2024-03-18 09:30:00,2,2024-03-18T09:30:00,,2024-03-18
2_2024-03-18 01:45:00,2,2024-03-18T01:45:00,,2024-03-18
2_2024-03-18 07:15:00,2,2024-03-18T07:15:00,,2024-03-18
2_2024-03-18 00:00:00,2,2024-03-18T00:00:00,,2024-03-18
2_2024-03-18 04:30:00,2,2024-03-18T04:30:00,,2024-03-18
2_2024-03-18 02:15:00,2,2024-03-18T02:15:00,,2024-03-18
2_2024-03-18 02:45:00,2,2024-03-18T02:45:00,,2024-03-18
2_2024-03-18 02:30:00,2,2024-03-18T02:30:00,,2024-03-18
2_2024-03-18 07:00:00,2,2024-03-18T07:00:00,,2024-03-18
2_2024-03-18 03:00:00,2,2024-03-18T03:00:00,,2024-03-18
2_2024-03-18 09:45:00,2,2024-03-18T09:45:00,,2024-03-18
2_2024-03-18 03:15:00,2,2024-03-18T03:15:00,,2024-03-18
2_2024-03-18 05:00:00,2,2024-03-18T05:00:00,,2024-03-18
2_2024-03-18 04:45:00,2,2024-03-18T04:45:00,,2024-03-18
2_2024-03-18 01:15:00,2,2024-03-18T01:15:00,,2024-03-18
2_2024-03-18 05:45:00,2,2024-03-18T05:45:00,,2024-03-18
2_2024-03-18 08:45:00,2,2024-03-18T08:45:00,,2024-03-18
2_2024-03-18 00:30:00,2,2024-03-18T00:30:00,,2024-03-18
2_2024-03-18 00:45:00,2,2024-03-18T00:45:00,,2024-03-18
2_2024-03-18 05:15:00,2,2024-03-18T05:15:00,,2024-03-18
2_2024-03-18 04:15:00,2,2024-03-18T04:15:00,,2024-03-18
2_2024-03-18 02:00:00,2,2024-03-18T02:00:00,,2024-03-18
2_2024-03-18 07:30:00,2,2024-03-18T07:30:00,,2024-03-18
2_2024-03-18 08:30:00,2,2024-03-18T08:30:00,,2024-03-18
2_2024-03-18 03:30:00,2,2024-03-18T03:30:00,,2024-03-18
2_2024-03-18 09:00:00,2,2024-03-18T09:00:00,,2024-03-18
